date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
1997-08-06,sz.000756,7.5719728000,8.7686149300,7.0987245000,8.1331100700,2.3324380500,9126316,105738903.7200,2,73.010528,1,248.695600,58.158928,7.227395,6.103716,0.000000
1997-08-07,sz.000756,7.6395797000,7.8288790200,7.4367590000,7.5990155600,8.1331100700,4153874,46683774.9300,2,33.230992,1,-6.566916,54.339680,6.752778,5.702890,0.000000
1997-08-08,sz.000756,7.6395797000,7.8085969500,7.0311176000,7.0919638100,7.5990155600,2405612,26140491.9400,2,19.244896,1,-6.672598,50.713812,6.302192,5.322359,0.000000
1997-08-11,sz.000756,6.8147755200,6.8959038000,6.3820913600,6.3820913600,7.0919638100,1716570,16464548.0100,2,13.732560,1,-10.009530,45.637596,5.671372,4.789616,0.000000
1997-08-12,sz.000756,6.0846210000,6.4902624000,5.9494072000,6.0034927200,6.3820913600,1074556,9751195.6400,2,8.596448,1,-5.932198,42.930281,5.334935,4.505486,0.000000
1997-08-13,sz.000756,6.0846210000,6.2063134200,5.9494072000,5.9764499600,6.0034927200,588165,5264652.8300,2,4.705320,1,-0.450450,42.736902,5.310904,4.485191,0.000000
1997-08-14,sz.000756,5.9832106500,6.2198348000,5.9156037500,6.1454672100,5.9764499600,464728,4168179.5900,2,3.717824,1,2.828054,43.945525,5.461099,4.612034,0.000000
1997-08-15,sz.000756,6.0846210000,6.2063134200,5.6654582200,5.7398258100,6.1454672100,684703,5939944.4300,2,5.477624,1,-6.600664,41.044830,5.100630,4.307610,0.000000
1997-08-18,sz.000756,5.6789796000,5.7127830500,5.3679878600,5.4423554500,5.7398258100,568608,4608415.7700,2,4.548864,1,-5.182563,38.917654,4.836287,4.084365,0.000000
1997-08-19,sz.000756,5.4761589000,5.6113727000,5.4085520000,5.4761589000,5.4423554500,260931,2123999.4800,2,2.087448,1,0.621120,39.159378,4.866326,4.109734,0.000000
1997-08-20,sz.000756,5.8277147800,5.8277147800,5.5437658000,5.6586975300,5.4761589000,253471,2116628.3200,2,2.027768,1,3.333327,40.464691,5.028537,4.246725,0.000000
1997-08-21,sz.000756,5.2462954400,5.8682789200,5.2462954400,5.6992616700,5.6586975300,370501,3123184.6000,2,2.964008,1,0.716851,40.754760,5.064584,4.277167,0.000000
