date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2010-04-09,sz.002385,5.8246800000,5.9188456600,5.4460758000,5.8508910600,3.3977300000,35127974,2087136423.2400,2,72.220341,1,72.200000,86.657895,28.783193,6.076458,1045.310087
2010-04-12,sz.002385,6.1265925800,6.4362714000,6.1042646400,6.4362714000,5.8508910600,26850070,1753282826.2500,2,55.201624,1,10.005000,95.327998,31.662945,6.684406,1149.893127
2010-04-13,sz.002385,6.6974112200,6.7906061000,6.2993914200,6.6284858400,6.4362714000,23200401,1569331455.3200,2,47.698193,1,2.986400,98.174898,32.608536,6.884031,1184.233827
2010-04-14,sz.002385,6.4411253000,6.5702390400,6.2139627800,6.3246317000,6.6284858400,10895915,716419477.7200,2,22.401141,1,-4.584100,93.674496,31.113739,6.568463,1129.947771
2010-04-15,sz.002385,6.3586090000,6.5013136600,5.6994493800,5.8732190000,6.3246317000,12344214,775642586.5600,2,25.378729,1,-7.137400,86.988596,28.893035,6.099647,1049.299158
2010-04-16,sz.002385,5.7159526400,5.7829364600,5.4489881400,5.5907220200,5.8732190000,6849723,397185515.1000,2,14.082490,1,-4.809900,82.804516,27.503304,5.806259,998.828736
2010-04-19,sz.002385,5.5528616000,5.7460468200,5.4654914000,5.6450857000,5.5907220200,6178815,357543051.5200,2,12.703156,1,0.972400,83.609700,27.770743,5.862718,1008.541257
2010-04-20,sz.002385,5.5829557800,5.7761410000,5.4557836000,5.6878000200,5.6450857000,5198089,300841031.4700,2,10.686861,1,0.756700,84.242344,27.980874,5.907080,1016.172523
2010-04-21,sz.002385,5.6305240000,5.8421540400,5.4849070000,5.7761410000,5.6878000200,6208339,363159924.4100,2,12.763855,1,1.553200,85.550768,28.415464,5.998826,1031.955370
2010-04-22,sz.002385,5.7276020000,5.9994204000,5.6819753400,5.7373098000,5.7761410000,5957060,358449041.4700,2,12.247245,1,-0.672300,84.975636,28.224435,5.958498,1025.017855
2010-04-23,sz.002385,5.6984786000,5.8732190000,5.6305240000,5.7178942000,5.7373098000,4117275,243898252.1400,2,8.464792,1,-0.338400,84.688071,28.128921,5.938334,1021.549098
2010-04-26,sz.002385,5.7644916400,6.1013523000,5.6674136400,5.9605892000,5.7178942000,6221610,378957896.1700,2,12.791139,1,4.244500,88.282641,29.322848,6.190385,1064.908567
2010-04-27,sz.002385,5.9023424000,5.9702970000,5.3645302800,5.4053030400,5.9605892000,6940088,397115956.5200,2,14.268273,1,-9.316000,80.058265,26.591143,5.613692,965.702101
2010-04-28,sz.002385,5.2422120000,5.2422120000,4.8684617000,4.8694324800,5.4053030400,5225849,269688267.8500,2,10.743933,1,-9.913800,71.139221,21.889210,4.717677,-287.697564
2010-04-29,sz.002385,4.9286500600,5.0266988400,4.7480849800,4.7587635600,4.8694324800,3850645,194336362.9600,2,7.916622,1,-2.272700,69.522420,21.391728,4.610457,-281.158983
2010-04-30,sz.002385,4.7189615800,4.7859454000,4.3694807800,4.5655783400,4.7587635600,4068445,191558260.8600,2,8.364402,1,-4.059600,66.700111,20.523316,4.423292,-269.745145
2010-05-04,sz.002385,4.5286887000,4.7471142000,4.4947114000,4.6209128000,4.5655783400,2364610,112868396.5800,2,4.861451,1,1.212000,67.508511,20.772057,4.476902,-273.014435
2010-05-05,sz.002385,4.5675199000,4.9490364400,4.5675199000,4.9199130400,4.6209128000,4053814,199188330.7800,2,8.334322,1,6.470600,71.876709,22.116132,4.766584,-290.680075
2010-05-06,sz.002385,4.8539000000,4.9898092000,4.8053610000,4.8247766000,4.9199130400,3512563,176255895.1300,2,7.221552,1,-1.933700,70.486827,21.688472,4.674412,-285.059190
2010-05-07,sz.002385,4.7276986000,4.9985462200,4.6995459800,4.8577831200,4.8247766000,2800776,140599248.8800,2,5.758174,1,0.684100,70.969031,21.836844,4.706390,-287.009293
2010-05-10,sz.002385,4.7626466800,4.8830234000,4.3772470200,4.3772470200,4.8577831200,3684748,174259017.3600,2,7.575551,1,-9.892100,63.948713,19.676724,4.240830,-258.618086
2010-05-11,sz.002385,4.5005360800,4.5141270000,4.0083506200,4.0374740200,4.3772470200,3979956,172944649.1000,2,8.182475,1,-7.762300,58.984852,18.149367,3.911646,-238.543495
2010-05-12,sz.002385,3.9792272200,4.0966916000,3.8345810000,3.9588408400,4.0374740200,2091452,84874218.4200,2,4.299860,1,-1.947600,57.836073,17.795893,3.835464,-233.897661
2010-05-13,sz.002385,3.9753441000,4.0365032400,3.7180874000,4.0151460800,3.9588408400,3119711,125655923.1000,2,6.413880,1,1.422300,58.658656,18.048998,3.890014,-237.224307
2010-05-14,sz.002385,3.8928278000,4.0928084800,3.8908862400,4.0374740200,4.0151460800,2720910,112242232.6800,2,5.593976,1,0.556100,58.984852,18.149367,3.911646,-238.543495
2010-05-17,sz.002385,3.9801980000,3.9899058000,3.6336295400,3.6336295400,4.0374740200,2610643,102834993.1100,2,5.367276,1,-10.002400,53.084949,16.333994,3.520387,-214.683410
2010-05-19,sz.002385,3.6879932200,3.8627336200,3.6695484000,3.7452692400,3.6336295400,2698752,104505126.8000,2,5.548421,1,3.072400,54.715932,16.835840,3.628548,-221.279347
2010-05-20,sz.002385,3.6889640000,3.8015744800,3.5734411800,3.5918860000,3.7452692400,2289523,86990921.4300,2,4.707079,1,-4.095400,52.475103,16.146347,3.479945,-212.217103
2010-05-21,sz.002385,3.4171456000,3.7190581800,3.4171456000,3.7035257000,3.5918860000,2894515,106666095.8800,2,5.950894,1,3.108100,54.106086,16.648193,3.588105,-218.813040
2010-05-24,sz.002385,3.7190581800,3.9122434000,3.6947886800,3.8967109200,3.7035257000,3722610,147230763.0900,2,7.653392,1,5.216300,56.928395,17.516605,3.775270,-230.226879
2010-05-25,sz.002385,3.8258439800,3.9365129000,3.8171069600,3.8394349000,3.8967109200,2474183,98410515.0700,2,5.086725,1,-1.469900,56.091630,17.259136,3.719779,-226.842876
2010-05-26,sz.002385,3.8617628400,3.9015648200,3.7064380400,3.7229413000,3.8394349000,2718260,105853986.6000,2,5.588528,1,-3.034100,54.389735,16.735471,3.606916,-219.960159
2010-05-27,sz.002385,3.7180874000,3.9316590000,3.5918860000,3.9161265200,3.7229413000,4686850,183792712.9800,2,9.635794,1,5.189000,57.212045,17.603882,3.794080,-231.373998
2010-05-28,sz.002385,3.9617531800,4.0151460800,3.8908862400,3.9316590000,3.9161265200,3824996,155870862.6900,2,7.863890,1,0.396600,57.438964,17.673704,3.809129,-232.291694
2010-05-31,sz.002385,3.8831200000,3.9753441000,3.7375030000,3.7384737800,3.9316590000,2799433,110661257.3400,2,5.755413,1,-4.913600,54.616654,16.805293,3.621964,-220.877855
2010-06-01,sz.002385,3.6938179000,3.7190581800,3.5006326800,3.6025645800,3.7384737800,2200350,82136669.3500,2,4.523746,1,-3.635400,52.631110,16.194350,3.490291,-212.848019
2010-06-02,sz.002385,3.6307172000,3.7064380400,3.4948080000,3.6967302400,3.6025645800,1740588,65377037.0700,2,3.578512,1,2.613900,54.006809,16.617646,3.581522,-218.411548
2010-06-03,sz.002385,3.7452692400,3.8811784400,3.7093503800,3.7520647000,3.6967302400,3267452,127819684.8700,2,6.717623,1,1.496800,54.815209,16.866387,3.635132,-221.680839
2010-06-04,sz.002385,3.6986718000,3.7714803000,3.6413957800,3.7588601600,3.7520647000,1778643,67851240.8200,2,3.656750,1,0.181100,54.914486,16.896934,3.641715,-222.082330
2010-06-07,sz.002385,3.6734315200,3.8928278000,3.6404250000,3.8918570200,3.7588601600,2988682,116747504.4100,2,6.144494,1,3.538200,56.857483,17.494785,3.770567,-229.940099
2010-06-08,sz.002385,3.8821492200,4.0384448000,3.8462303600,4.0297077800,3.8918570200,4122034,169424306.2300,2,8.474576,1,3.542000,58.871393,18.114456,3.904122,-238.084647
2010-06-09,sz.002385,4.0772760000,4.1238734400,3.9947597000,4.0190292000,4.0297077800,3860084,161281160.8500,2,7.936028,1,-0.264989,58.715385,18.066453,3.893776,-237.453731
2010-06-10,sz.002385,4.0190292000,4.1539676200,3.9957304800,4.0918377000,4.0190292000,2868910,121037976.1800,2,5.898252,1,1.811600,59.779070,18.393744,3.964316,-241.755429
2010-06-11,sz.002385,4.1209611000,4.1452306000,4.0132045200,4.0510649400,4.0918377000,1857506,77683421.3000,2,3.818886,1,-0.996400,59.183407,18.210461,3.924814,-239.346479
