date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
1997-06-16,sz.000728,6.2879850000,6.7452930000,6.2651196000,6.3977389200,3.2926176000,46193799,655224046.9400,2,64.158054,1,94.305560,45.731564,13.305396,6.715841,0.000000
1997-06-17,sz.000728,6.1736580000,6.2193888000,5.7575077200,5.7575077200,6.3977389200,15359100,197470478.9600,2,21.332083,1,-10.007140,41.155139,11.973905,6.043777,0.000000
1997-06-18,sz.000728,5.5700114400,5.7575077200,5.2727612400,5.4282459600,5.7575077200,6629401,79552824.6500,2,9.207501,1,-5.718826,38.801549,11.289139,5.698144,0.000000
1997-06-19,sz.000728,5.3276382000,5.4785498400,4.9389264000,4.9617918000,5.4282459600,5637670,63602985.4500,2,7.830097,1,-8.593087,35.467296,10.319053,5.208497,0.000000
1997-06-20,sz.000728,5.0303880000,5.4602575200,5.0303880000,5.3642228400,4.9617918000,6464365,73756163.6700,2,8.978285,1,8.110591,38.343906,11.155989,5.630938,0.000000
1997-06-23,sz.000728,5.4328190400,5.4785498400,5.0303880000,5.1309957600,5.3642228400,6011872,68597775.0200,2,8.349822,1,-4.347820,36.676780,10.670946,5.386114,0.000000
1997-06-24,sz.000728,5.1035572800,5.3505036000,5.0898380400,5.2133112000,5.1309957600,3797752,43105654.0500,2,5.274656,1,1.604272,37.265177,10.842138,5.472523,0.000000
1997-06-25,sz.000728,5.2361766000,5.2590420000,5.1035572800,5.1447150000,5.2133112000,3067931,34623538.4000,2,4.261015,1,-1.315786,36.774846,10.699478,5.400516,0.000000
1997-06-26,sz.000728,5.1035572800,5.1218496000,4.9846572000,5.0166687600,5.1447150000,3289170,36254322.1000,2,4.568292,1,-2.488887,35.859561,10.433180,5.266103,0.000000
1997-06-27,sz.000728,4.9846572000,5.0303880000,4.5776530800,4.6645416000,5.0166687600,4282750,44838959.1100,2,5.948264,1,-7.019147,33.342527,9.700860,4.896468,0.000000
1997-07-02,sz.000728,4.6645416000,4.7925878400,4.1980874400,4.2758298000,4.6645416000,3490598,32927767.5000,2,4.848053,1,-8.333327,30.563983,8.892455,4.488429,0.000000
1997-07-03,sz.000728,4.3352798400,4.5273492000,4.0243104000,4.3169875200,4.2758298000,3170879,29685471.6500,2,4.403999,1,0.962558,30.858182,8.978051,4.531633,0.000000
1997-07-04,sz.000728,4.2758298000,4.3855837200,4.1203450800,4.2483913200,4.3169875200,1607230,14935405.5500,2,2.232264,1,-1.588979,30.367851,8.835391,4.459626,0.000000
1997-07-07,sz.000728,4.3078413600,4.3307067600,3.8230948800,3.8596795200,4.2483913200,1709150,15099435.2500,2,2.373819,1,-9.149628,27.589307,8.026986,4.051587,0.000000
1997-07-08,sz.000728,3.8139487200,4.0197373200,3.6630370800,3.8733987600,3.8596795200,2066900,17176415.0000,2,2.870694,1,0.355458,27.687373,8.055518,4.065988,0.000000
1997-07-09,sz.000728,3.8916910800,4.0243104000,3.7499256000,3.9282757200,3.8733987600,1882100,15958073.3100,2,2.614028,1,1.416764,28.079638,8.169646,4.123594,0.000000
1997-07-10,sz.000728,3.9099834000,4.0014450000,3.7544986800,3.7636448400,3.9282757200,1334690,11310489.6000,2,1.853736,1,-4.190927,26.902843,7.827263,3.950777,0.000000
1997-07-11,sz.000728,3.7865102400,4.0471758000,3.7865102400,4.0380296400,3.7636448400,2514123,21691872.0000,2,3.491837,1,7.290406,28.864168,8.397902,4.238805,0.000000
1997-07-14,sz.000728,4.1157720000,4.3352798400,3.9374218800,4.2118066800,4.0380296400,3703623,33958493.4300,2,5.143921,1,4.303512,30.106341,8.759306,4.421222,0.000000
1997-07-15,sz.000728,4.2438182400,4.2621105600,4.0243104000,4.1249181600,4.2118066800,2384662,21494486.7400,2,3.312031,1,-2.062970,29.485254,8.578604,4.330014,0.000000
1997-07-16,sz.000728,4.1615028000,4.1797951200,3.9785796000,4.0060180800,4.1249181600,1820100,16098453.2500,2,2.527917,1,-2.882486,28.635347,8.331327,4.205202,0.000000
1997-07-17,sz.000728,3.9557142000,4.1797951200,3.9328488000,4.0563219600,4.0060180800,1751240,15563035.9000,2,2.432278,1,1.255704,28.994923,8.435944,4.258007,0.000000
1997-07-18,sz.000728,3.9785796000,4.1843682000,3.9419949600,4.1111989200,4.0563219600,2013643,17834471.4400,2,2.796726,1,1.352874,29.387188,8.550072,4.315612,0.000000
1997-07-21,sz.000728,4.1615028000,4.3489990800,4.1157720000,4.2118066800,4.1111989200,4520819,42099788.9200,2,6.278915,1,2.447166,30.106341,8.759306,4.421222,0.000000
