date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
1999-09-09,sz.000937,1.8693213600,1.9016625600,1.7625954000,1.8596190000,1.2661579800,45949603,518640309.0400,2,54.058356,1,46.871010,33.575974,8.625551,5.617288,0.000000
1999-09-10,sz.000937,1.8677043000,1.9728132000,1.8288948600,1.8887260800,1.8596190000,16097344,189728430.6500,2,18.938052,1,1.565220,34.101511,8.760560,5.705211,0.000000
1999-09-13,sz.000937,1.8919602000,1.9243014000,1.8757896000,1.9065137400,1.8887260800,5269048,61957865.3700,2,6.198880,1,0.941778,34.422673,8.843065,5.758941,0.000000
1999-09-14,sz.000937,1.9145990400,1.9404720000,1.8887260800,1.9065137400,1.9065137400,3991102,47160135.2000,2,4.695414,1,0.000000,34.422673,8.843065,5.758941,0.000000
1999-09-15,sz.000937,1.9081308000,1.9323867000,1.8774066600,1.9000455000,1.9065137400,2405161,28349626.6600,2,2.829601,1,-0.339270,34.305887,8.813063,5.739403,0.000000
1999-09-16,sz.000937,1.9032796200,1.9162161000,1.8725554800,1.8774066600,1.9000455000,3152807,36816262.8400,2,3.709185,1,-1.191492,33.897136,8.708056,5.671018,0.000000
1999-09-17,sz.000937,1.8774066600,1.9081308000,1.8725554800,1.8887260800,1.8774066600,1811553,21207419.1100,2,2.131239,1,0.602934,34.101511,8.760560,5.705211,0.000000
1999-09-20,sz.000937,1.8887260800,1.9000455000,1.8725554800,1.8838749000,1.8887260800,1401108,16331901.3600,2,1.648362,1,-0.256855,34.013922,8.738058,5.690557,0.000000
1999-09-21,sz.000937,1.8612360600,1.8790237200,1.8369801600,1.8563848800,1.8838749000,1521203,17466321.1800,2,1.789651,1,-1.459228,33.517581,8.610550,5.607519,0.000000
1999-09-22,sz.000937,1.8499166400,1.8596190000,1.8256607400,1.8272778000,1.8563848800,1418189,16099145.3200,2,1.668458,1,-1.567939,32.992044,8.475542,5.519596,0.000000
1999-09-23,sz.000937,1.8240436800,1.8418313400,1.8030219000,1.8143413200,1.8272778000,1415650,15929007.4000,2,1.665471,1,-0.707964,32.758472,8.415538,5.480519,0.000000
1999-09-24,sz.000937,1.8191925000,1.8660872400,1.8191925000,1.8466825200,1.8143413200,794300,9076812.9400,2,0.934471,1,1.782529,33.342402,8.565547,5.578211,0.000000
1999-09-27,sz.000937,1.8596190000,1.8677043000,1.8111072000,1.8143413200,1.8466825200,886060,9984013.4300,2,1.042424,1,-1.751312,32.758472,8.415538,5.480519,0.000000
1999-09-28,sz.000937,1.8191925000,1.8644701800,1.8191925000,1.8628531200,1.8143413200,1185154,13574826.6400,2,1.394299,1,2.673798,33.634367,8.640552,5.627057,0.000000
1999-09-29,sz.000937,1.8563848800,1.8871090200,1.8434484000,1.8547678200,1.8628531200,695396,8017223.1900,2,0.818113,1,-0.434029,33.488385,8.603050,5.602634,0.000000
1999-09-30,sz.000937,1.8596190000,1.8677043000,1.8127242600,1.8191925000,1.8547678200,752944,8545109.4300,2,0.885816,1,-1.918049,32.846062,8.438039,5.495173,0.000000
1999-10-08,sz.000937,1.8191925000,1.8240436800,1.7949366000,1.8030219000,1.8191925000,473605,5292432.0000,2,0.557182,1,-0.888892,32.554097,8.363034,5.446327,0.000000
1999-10-11,sz.000937,1.7997877800,1.8272778000,1.7787660000,1.7900854200,1.8030219000,619701,6888024.5500,2,0.729060,1,-0.717488,32.320525,8.303031,5.407250,0.000000
1999-10-12,sz.000937,1.7917024800,1.8272778000,1.7917024800,1.8062560200,1.7900854200,217950,2435422.5000,2,0.256412,1,0.903346,32.612490,8.378035,5.456096,0.000000
1999-10-13,sz.000937,1.8127242600,1.8143413200,1.7868513000,1.7949366000,1.8062560200,329050,3655299.5000,2,0.387118,1,-0.626676,32.408114,8.325532,5.421904,0.000000
1999-10-14,sz.000937,1.7884683600,1.8208095600,1.7431906800,1.7609783400,1.7949366000,967583,10580021.3200,2,1.138333,1,-1.891892,31.794988,8.168022,5.319327,0.000000
1999-10-15,sz.000937,1.7642124600,1.8240436800,1.7625954000,1.7965536600,1.7609783400,1127096,12485659.6700,2,1.325995,1,2.020196,32.437311,8.333032,5.426788,0.000000
1999-10-18,sz.000937,1.7965536600,1.8078730800,1.7496589200,1.7512759800,1.7965536600,516940,5651725.8000,2,0.608165,1,-2.520250,31.619809,8.123019,5.290020,0.000000
1999-10-19,sz.000937,1.7431906800,1.7577442200,1.7318712600,1.7448077400,1.7512759800,517460,5578235.9000,2,0.608776,1,-0.369344,31.503023,8.093017,5.270481,0.000000
1999-10-20,sz.000937,1.7464248000,1.7965536600,1.7334883200,1.7803830600,1.7448077400,658350,7243063.6900,2,0.774529,1,2.038927,32.145346,8.258028,5.377943,0.000000
1999-10-21,sz.000937,1.7820001200,1.7820001200,1.7464248000,1.7739148200,1.7803830600,769090,8362539.0000,2,0.904812,1,-0.363306,32.028560,8.228026,5.358404,0.000000
1999-10-22,sz.000937,1.7771489400,1.8660872400,1.7706807000,1.8240436800,1.7739148200,1482374,16654978.1800,2,1.743969,1,2.825884,32.933651,8.460541,5.509827,0.000000
1999-10-25,sz.000937,1.8321289800,1.8434484000,1.7981707200,1.8111072000,1.8240436800,926849,10444850.2300,2,1.090411,1,-0.709219,32.700079,8.400537,5.470750,0.000000
1999-10-26,sz.000937,1.8191925000,1.8515337000,1.8159583800,1.8272778000,1.8111072000,464632,5260699.8400,2,0.546626,1,0.892860,32.992044,8.475542,5.519596,0.000000
1999-10-27,sz.000937,1.8515337000,1.9000455000,1.8353631000,1.8580019400,1.8272778000,1659722,19109239.3100,2,1.952614,1,1.681412,33.546778,8.618051,5.612403,0.000000
1999-10-28,sz.000937,1.8596190000,1.8677043000,1.7933195400,1.7997877800,1.8580019400,825705,9275967.1000,2,0.971418,1,-3.133157,32.495704,8.348033,5.436558,0.000000
1999-10-29,sz.000937,1.8030219000,1.8191925000,1.7884683600,1.7965536600,1.7997877800,477320,5308929.0000,2,0.561553,1,-0.179699,32.437311,8.333032,5.426788,0.000000
1999-11-01,sz.000937,1.7933195400,1.8111072000,1.7787660000,1.8062560200,1.7965536600,340955,3792066.7000,2,0.401124,1,0.540058,32.612490,8.378035,5.456096,0.000000
1999-11-02,sz.000937,1.8111072000,1.8111072000,1.7787660000,1.7803830600,1.8062560200,403450,4458810.0000,2,0.474647,1,-1.432407,32.145346,8.258028,5.377943,0.000000
1999-11-03,sz.000937,1.7803830600,1.7981707200,1.7722977600,1.7722977600,1.7803830600,357500,3932237.8800,2,0.420588,1,-0.454134,31.999363,8.220525,5.353520,0.000000
1999-11-04,sz.000937,1.7625954000,1.7981707200,1.7480418600,1.7755318800,1.7722977600,490055,5350385.6900,2,0.576535,1,0.182477,32.057756,8.235526,5.363289,0.000000
1999-11-05,sz.000937,1.7787660000,1.8030219000,1.7609783400,1.7609783400,1.7755318800,240750,2640282.5500,2,0.283235,1,-0.819665,31.794988,8.168022,5.319327,0.000000
1999-11-08,sz.000937,1.7625954000,1.7787660000,1.7561271600,1.7609783400,1.7609783400,337850,3682773.0000,2,0.397471,1,0.000000,31.794988,8.168022,5.319327,0.000000
1999-11-09,sz.000937,1.7787660000,1.7949366000,1.7722977600,1.7868513000,1.7609783400,848220,9339337.1900,2,0.848220,1,1.469236,32.262132,8.288030,5.397481,0.000000
1999-11-10,sz.000937,1.7625954000,1.7722977600,1.7302542000,1.7464248000,1.7868513000,782619,8488156.2500,2,0.782619,1,-2.262444,31.532219,8.100518,5.275366,0.000000
1999-11-11,sz.000937,1.7431906800,1.7496589200,1.6979130000,1.7059983000,1.7464248000,700659,7474383.0200,2,0.700659,1,-2.314815,30.802307,7.913006,5.153251,0.000000
1999-11-12,sz.000937,1.7108494800,1.7254030200,1.7011471200,1.7205518400,1.7059983000,563680,5972808.0000,2,0.563680,1,0.853082,31.065075,7.980510,5.197212,0.000000
1999-11-15,sz.000937,1.7205518400,1.7270200800,1.7108494800,1.7237859600,1.7205518400,543750,5773733.9000,2,0.543750,1,0.187965,31.123468,7.995511,5.206982,0.000000
1999-11-16,sz.000937,1.7464248000,1.7561271600,1.6720400400,1.6817424000,1.7237859600,665400,7002881.4000,2,0.665400,1,-2.439027,30.364359,7.800498,5.079982,0.000000
1999-11-17,sz.000937,1.6817424000,1.7254030200,1.6477841400,1.7237859600,1.6817424000,1450805,15017033.3000,2,1.450805,1,2.500002,31.123468,7.995511,5.206982,0.000000
1999-11-18,sz.000937,1.7302542000,1.7464248000,1.6849765200,1.7431906800,1.7237859600,1693129,18070703.6000,2,1.693129,1,1.125703,31.473826,8.085517,5.265597,0.000000
1999-11-19,sz.000937,1.7399565600,1.7545101000,1.7157006600,1.7254030200,1.7431906800,587550,6313460.7400,2,0.587550,1,-1.020405,31.152665,8.003011,5.211866,0.000000
1999-11-22,sz.000937,1.7221689000,1.7545101000,1.7173177200,1.7431906800,1.7254030200,515630,5535773.3500,2,0.515630,1,1.030925,31.473826,8.085517,5.265597,0.000000
1999-11-23,sz.000937,1.7383395000,1.7658295200,1.7318712600,1.7561271600,1.7431906800,453234,4892931.5400,2,0.453234,1,0.742114,31.707398,8.145520,5.304674,0.000000
1999-11-24,sz.000937,1.7464248000,1.7609783400,1.7431906800,1.7545101000,1.7561271600,464770,5029678.7000,2,0.464770,1,-0.092074,31.678202,8.138020,5.299789,0.000000
1999-11-25,sz.000937,1.7334883200,1.7464248000,1.7205518400,1.7237859600,1.7545101000,390900,4182427.0000,2,0.390900,1,-1.751157,31.123468,7.995511,5.206982,0.000000
1999-11-26,sz.000937,1.7140836000,1.7351053800,1.7140836000,1.7302542000,1.7237859600,318305,3400132.5200,2,0.318305,1,0.375234,31.240254,8.025513,5.226520,0.000000
1999-11-29,sz.000937,1.7302542000,1.7302542000,1.6962959400,1.7011471200,1.7302542000,693220,7307790.9900,2,0.693220,1,-1.682237,30.714717,7.890504,5.138597,0.000000
1999-11-30,sz.000937,1.6979130000,1.7286371400,1.6979130000,1.7205518400,1.7011471200,312501,3324284.2600,2,0.312501,1,1.140683,31.065075,7.980510,5.197212,0.000000
1999-12-01,sz.000937,1.6979130000,1.7625954000,1.6979130000,1.7464248000,1.7205518400,328736,3550002.2000,2,0.328736,1,1.503758,31.532219,8.100518,5.275366,0.000000
1999-12-02,sz.000937,1.7351053800,1.7545101000,1.7286371400,1.7334883200,1.7464248000,384300,4138213.6600,2,0.384300,1,-0.740740,31.298647,8.040514,5.236289,0.000000
1999-12-03,sz.000937,1.7431906800,1.7706807000,1.7302542000,1.7674465800,1.7334883200,890302,9660539.0100,2,0.890302,1,1.958955,31.911774,8.198024,5.338866,0.000000
1999-12-06,sz.000937,1.7480418600,1.7722977600,1.7431906800,1.7658295200,1.7674465800,531337,5771559.3900,2,0.531337,1,-0.091493,31.882577,8.190523,5.333981,0.000000
1999-12-07,sz.000937,1.7658295200,1.8030219000,1.7577442200,1.7836171800,1.7658295200,1531410,16877930.9300,2,1.531410,1,1.007323,32.203739,8.273029,5.387712,0.000000
