date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
1996-12-26,sz.000058,7.0655072000,7.5126912000,6.9760704000,7.4724446400,3.0408512000,11518400,185918688.8000,2,54.332075,1,145.735300,58.641874,16.438383,2.950245,0.000000
1996-12-27,sz.000058,7.7810016000,7.8257200000,7.2488526400,7.5574096000,7.4724446400,10245574,173147048.0400,2,48.328179,1,1.137047,59.308657,16.625294,2.983791,0.000000
1996-12-30,sz.000058,7.5797688000,8.1387488000,7.3830078400,8.0671993600,7.5574096000,7059346,121946505.8000,2,33.298802,1,6.745570,63.309360,17.746764,3.185064,0.000000
1996-12-31,sz.000058,8.0180091200,8.0180091200,7.3785360000,7.4724446400,8.0671993600,3777390,64786139.1000,2,17.817877,1,-7.372516,58.641874,16.438383,2.950245,0.000000
1997-01-02,sz.000058,7.4724446400,7.7810016000,7.3830078400,7.5484659200,7.4724446400,1974756,33332737.0700,2,9.314887,1,1.017355,59.238470,16.605620,2.980260,0.000000
1997-01-03,sz.000058,7.6021280000,7.6021280000,7.1102256000,7.2175497600,7.5484659200,2173800,35471947.4500,2,10.253774,1,-4.383885,56.641522,15.877648,2.849608,0.000000
1997-01-06,sz.000058,7.1549440000,7.2443808000,6.4975835200,6.5244145600,7.2175497600,1416800,21919831.3200,2,6.683019,1,-9.603465,51.201971,14.352843,2.575947,0.000000
1997-01-07,sz.000058,6.3947312000,6.8866336000,6.0503995200,6.8150841600,6.5244145600,1956511,28811389.8800,2,9.228825,1,4.455104,53.483073,14.992277,2.690708,0.000000
1997-01-08,sz.000058,6.7077600000,6.8419152000,6.4841680000,6.6406824000,6.8150841600,1287627,19179050.0500,2,6.073712,1,-2.559051,52.114412,14.608617,2.621852,0.000000
1997-01-09,sz.000058,6.6183232000,6.8374433600,6.6183232000,6.7748376000,6.6406824000,1077530,16279746.6000,2,5.082689,1,2.020197,53.167228,14.903740,2.674818,0.000000
1997-01-10,sz.000058,6.7524784000,6.8463870400,6.6183232000,6.8061404800,6.7748376000,822766,12414413.1600,2,3.880972,1,0.462050,53.412886,14.972603,2.687177,0.000000
1997-01-13,sz.000058,6.8195560000,7.0833945600,6.7971968000,6.9850140800,6.8061404800,1168521,18270014.4600,2,5.511892,1,2.628118,54.816641,15.366101,2.757799,0.000000
1997-01-14,sz.000058,6.9850140800,7.1460003200,6.7077600000,6.7524784000,6.9850140800,1361660,21078554.0000,2,6.422925,1,-3.329062,52.991759,14.854553,2.665991,0.000000
1997-01-15,sz.000058,6.7077600000,6.9224083200,6.7077600000,6.8911054400,6.7524784000,849590,13009376.7000,2,4.007500,1,2.052977,54.079669,15.159514,2.720723,0.000000
1997-01-16,sz.000058,6.7971968000,6.9939577600,6.7971968000,6.8911054400,6.8911054400,672340,10342283.1000,2,3.171415,1,0.000000,54.079669,15.159514,2.720723,0.000000
1997-01-17,sz.000058,6.8911054400,6.9537112000,6.8016686400,6.8911054400,6.8911054400,660665,10146952.0000,2,3.116344,1,0.000000,54.079669,15.159514,2.720723,0.000000
1997-01-20,sz.000058,6.8955772800,6.9402956800,6.8061404800,6.8598025600,6.8911054400,840294,12895932.2200,2,3.963651,1,-0.454248,53.834012,15.090652,2.708364,0.000000
1997-01-21,sz.000058,6.9313520000,7.1057537600,6.8866336000,6.9447675200,6.8598025600,1140900,17861529.1000,2,5.381604,1,1.238589,54.500796,15.277564,2.741909,0.000000
1997-01-22,sz.000058,6.7971968000,7.0431480000,6.7971968000,6.9224083200,6.9447675200,889341,13677270.9500,2,4.195005,1,-0.321959,54.325326,15.228376,2.733082,0.000000
1997-01-23,sz.000058,6.9313520000,7.0923382400,6.8016686400,7.0744508800,6.9224083200,1269395,19620376.0500,2,5.987712,1,2.196383,55.518518,15.562850,2.793111,0.000000
1997-01-24,sz.000058,7.0878664000,7.0878664000,6.8642744000,6.9402956800,7.0744508800,906899,14090526.4900,2,4.277825,1,-1.896329,54.465702,15.267726,2.740144,0.000000
1997-01-27,sz.000058,7.0744508800,7.3248739200,6.9850140800,7.2399089600,6.9402956800,2264115,36179107.5400,2,10.679788,1,4.317010,56.816992,15.926835,2.858436,0.000000
1997-01-28,sz.000058,7.2667400000,7.5529377600,7.2354371200,7.2756836800,7.2399089600,1748027,28777616.1800,2,8.245410,1,0.494132,57.097743,16.005535,2.872561,0.000000
1997-01-29,sz.000058,7.3785360000,7.5350504000,7.2443808000,7.3069865600,7.2756836800,1199284,19689083.2400,2,5.657000,1,0.430238,57.343400,16.074397,2.884920,0.000000
1997-01-30,sz.000058,7.3695923200,7.3695923200,7.0655072000,7.1549440000,7.3069865600,1009301,16173631.9600,2,4.760854,1,-2.080784,56.150208,15.739924,2.824891,0.000000
1997-01-31,sz.000058,7.1549440000,7.1594158400,7.0655072000,7.1146974400,7.1549440000,843038,13385046.6700,2,3.976594,1,-0.562501,55.834363,15.651387,2.809001,0.000000
1997-02-17,sz.000058,7.1549440000,7.1549440000,6.9313520000,6.9984296000,7.1146974400,430250,6745015.2000,2,2.029481,1,-1.634194,54.921922,15.395613,2.763096,0.000000
1997-02-18,sz.000058,6.9671267200,6.9671267200,6.3008225600,6.3008225600,6.9984296000,1737600,25235641.5000,2,8.196226,1,-9.968047,49.447277,13.860970,2.487669,0.000000
1997-02-19,sz.000058,6.2605760000,6.6630416000,6.2605760000,6.5601892800,6.3008225600,1034520,14932089.4300,2,4.879811,1,4.116394,51.482722,14.431543,2.590072,0.000000
1997-02-20,sz.000058,5.9028288000,6.4841680000,5.9028288000,6.3231817600,6.5601892800,1539629,21244850.9000,2,7.262401,1,-3.612813,49.622746,13.910158,2.496497,0.000000
1997-02-21,sz.000058,6.2561041600,6.4573369600,6.2561041600,6.4349777600,6.3231817600,619560,8821921.1500,2,2.922453,1,1.768034,50.500093,14.156094,2.540636,0.000000
1997-02-24,sz.000058,6.6138513600,6.6183232000,6.3992030400,6.4752243200,6.4349777600,563470,8176971.4800,2,2.657877,1,0.625429,50.815938,14.244631,2.556526,0.000000
1997-02-25,sz.000058,6.4841680000,6.6183232000,6.3589564800,6.4841680000,6.4752243200,615545,8971380.2500,2,2.903514,1,0.138125,50.886126,14.264306,2.560057,0.000000
1997-02-26,sz.000058,6.5288864000,6.7345910400,6.4841680000,6.7077600000,6.4841680000,942387,13930121.4200,2,4.445222,1,3.448276,52.640820,14.756179,2.648335,0.000000
1997-02-27,sz.000058,6.8419152000,6.8642744000,6.6183232000,6.6675134400,6.7077600000,1081300,16290795.1500,2,5.100472,1,-0.600001,52.324975,14.667641,2.632445,0.000000
1997-02-28,sz.000058,6.5736048000,6.7971968000,6.5736048000,6.7077600000,6.6675134400,625000,9295019.0000,2,2.948113,1,0.603623,52.640820,14.756179,2.648335,0.000000
1997-03-03,sz.000058,6.7167036800,7.0476198400,6.7167036800,6.9492393600,6.7077600000,1140881,17617918.8200,2,5.381514,1,3.600000,54.535890,15.287401,2.743675,0.000000
1997-03-04,sz.000058,6.9537112000,7.0655072000,6.8419152000,6.9581830400,6.9492393600,1135030,17698245.9000,2,5.353915,1,0.128703,54.606077,15.307076,2.747206,0.000000
1997-03-05,sz.000058,6.9984296000,7.0431480000,6.7032881600,6.7435347200,6.9581830400,657389,10116196.1700,2,3.100892,1,-3.084836,52.921571,14.834878,2.662459,0.000000
1997-03-06,sz.000058,6.6764571200,6.8195560000,6.6630416000,6.8061404800,6.7435347200,493176,7451214.4900,2,2.326302,1,0.928384,53.412886,14.972603,2.687177,0.000000
1997-03-07,sz.000058,6.8419152000,7.1549440000,6.7480065600,6.9537112000,6.8061404800,1643240,25807871.2800,2,7.751132,1,2.168199,54.570984,15.297238,2.745441,0.000000
1997-03-10,sz.000058,7.0655072000,7.2086060800,6.9760704000,7.1728313600,6.9537112000,1758145,27931734.6400,2,8.293137,1,3.151130,56.290584,15.779274,2.831953,0.000000
1997-03-11,sz.000058,7.2220216000,7.2220216000,7.0878664000,7.1728313600,7.1728313600,1227350,19562276.1000,2,5.789387,1,0.000000,56.290584,15.779274,2.831953,0.000000
1997-03-12,sz.000058,7.1996624000,7.3114584000,7.1102256000,7.1504721600,7.1728313600,1076900,17265402.1000,2,5.079717,1,-0.311728,56.115114,15.730086,2.823125,0.000000
1997-03-13,sz.000058,7.1549440000,7.4232544000,7.0207888000,7.3025147200,7.1504721600,2350971,38246001.5500,2,11.089486,1,2.126330,57.308306,16.064560,2.883154,0.000000
1997-03-14,sz.000058,7.3293457600,7.3785360000,7.0878664000,7.2622681600,7.3025147200,1167826,18887667.0300,2,5.508613,1,-0.551134,56.992461,15.976023,2.867264,0.000000
1997-03-17,sz.000058,7.4277262400,7.4456136000,7.2443808000,7.2980428800,7.2622681600,1573224,25728007.0300,2,7.420868,1,0.492610,57.273212,16.054722,2.881388,0.000000
1997-03-18,sz.000058,7.3114584000,7.3338176000,7.1325848000,7.2309652800,7.2980428800,1421840,22917604.6700,2,6.706792,1,-0.919115,56.746804,15.907160,2.854905,0.000000
1997-03-19,sz.000058,7.1594158400,7.9554033600,7.1549440000,7.9554033600,7.2309652800,3241471,55172630.7100,2,15.289958,1,10.018560,62.432013,17.500828,3.140925,0.000000
1997-03-20,sz.000058,8.4964960000,8.4964960000,7.6915648000,7.7183958400,7.9554033600,4591719,84045917.3700,2,21.659052,1,-2.979206,60.572037,16.979443,3.047351,0.000000
1997-03-21,sz.000058,7.6021280000,8.0940304000,7.5126912000,7.9643470400,7.7183958400,2077641,36512832.3200,2,9.800193,1,3.186554,62.502200,17.520503,3.144456,0.000000
1997-03-24,sz.000058,8.2505448000,8.2729040000,7.8614947200,8.0403683200,7.9643470400,1972597,35215687.8700,2,9.304703,1,0.954520,63.098796,17.687739,3.174471,0.000000
1997-03-25,sz.000058,8.0045936000,8.0716712000,7.7854734400,7.8570228800,8.0403683200,1621235,28656957.6500,2,7.647335,1,-2.280311,61.659947,17.284404,3.102083,0.000000
1997-03-26,sz.000058,7.8838539200,8.2505448000,7.7139240000,7.9330441600,7.8570228800,1450299,25915227.5400,2,6.841033,1,0.967559,62.256543,17.451640,3.132098,0.000000
1997-03-27,sz.000058,8.0045936000,8.0045936000,7.7810016000,7.7944171200,7.9330441600,1007900,17763554.5000,2,4.754245,1,-1.747460,61.168633,17.146679,3.077365,0.000000
1997-03-28,sz.000058,7.8078326400,7.9598752000,7.7139240000,7.7318113600,7.7944171200,888483,15483541.3500,2,4.190958,1,-0.803209,60.677319,17.008955,3.052647,0.000000
1997-03-31,sz.000058,7.8078326400,8.1298051200,7.7810016000,8.1208614400,7.7318113600,1511282,27009431.0200,2,7.128689,1,5.031804,63.730486,17.864813,3.206251,0.000000
1997-04-01,sz.000058,8.1298051200,8.2147700800,7.8525510400,7.9151568000,8.1208614400,669800,11903179.2000,2,3.159434,1,-2.533035,62.116168,17.412291,3.125035,0.000000
1997-04-02,sz.000058,7.9375160000,8.1611080000,7.9062131200,7.9598752000,7.9151568000,1165370,20965252.8400,2,5.497028,1,0.564963,62.467107,17.510665,3.142691,0.000000
1997-04-03,sz.000058,8.0403683200,8.0493120000,7.6915648000,7.8749102400,7.9598752000,935000,16487762.5000,2,4.410377,1,-1.067408,61.800323,17.323754,3.109145,0.000000
1997-04-04,sz.000058,8.0448401600,8.3086787200,7.9509315200,8.0806148800,7.8749102400,2378110,42965110.4500,2,11.217500,1,2.612147,63.414641,17.776276,3.190361,0.000000
1997-04-07,sz.000058,8.1163896000,8.6708977600,8.0940304000,8.6530104000,8.0806148800,3932981,73726282.6500,2,18.551797,1,7.083568,67.906658,19.035470,3.416352,0.000000
1997-04-08,sz.000058,8.7200880000,9.0331168000,8.2729040000,8.4875523200,8.6530104000,3000836,58049385.0200,2,14.154887,1,-1.912149,66.608184,18.671485,3.351027,0.000000
1997-04-09,sz.000058,8.4875523200,8.7200880000,8.4607212800,8.5546299200,8.4875523200,1765694,33970618.4100,2,8.328745,1,0.790304,67.134593,18.819046,3.377510,0.000000
1997-04-10,sz.000058,8.5859328000,8.6306512000,8.3533971200,8.3891718400,8.5546299200,1319228,24888324.0100,2,6.222774,1,-1.934129,65.836119,18.455061,3.312184,0.000000
1997-04-11,sz.000058,8.3623408000,8.3623408000,7.9598752000,8.1655798400,8.3891718400,1195675,21712109.8400,2,5.639976,1,-2.665245,64.081425,17.963188,3.223906,0.000000
1997-04-14,sz.000058,8.1834672000,8.3399816000,8.1745235200,8.1834672000,8.1655798400,743400,13670804.0000,2,3.506604,1,0.219053,64.221801,18.002538,3.230969,0.000000
1997-04-15,sz.000058,8.2058264000,8.4070592000,8.0493120000,8.2550166400,8.1834672000,943649,17360665.0400,2,4.451175,1,0.874316,64.783303,18.159937,3.259218,0.000000
1997-04-16,sz.000058,8.2237137600,8.2505448000,8.0582556800,8.1163896000,8.2550166400,681718,12388758.4400,2,3.215651,1,-1.679304,63.695392,17.854976,3.204485,0.000000
1997-04-17,sz.000058,8.1208614400,8.3176224000,8.0716712000,8.2550166400,8.1163896000,784000,14352724.0000,2,3.698113,1,1.707986,64.783303,18.159937,3.259218,0.000000
1997-04-18,sz.000058,8.1611080000,8.2192419200,7.6960366400,7.8749102400,8.2550166400,774542,13622687.7400,2,3.653500,1,-4.604542,38.216601,6.775768,3.290896,0.000000
1997-04-21,sz.000058,7.9151568000,8.0269528000,7.7407550400,7.9017412800,7.8749102400,1126550,19894672.7600,2,5.313915,1,0.340712,38.346811,6.798854,3.302109,0.000000
1997-04-22,sz.000058,7.9151568000,7.9598752000,7.8257200000,7.9554033600,7.9017412800,760366,13387909.2900,2,3.586632,1,0.679122,38.607231,6.845027,3.324534,0.000000
1997-04-23,sz.000058,8.0045936000,8.2550166400,7.9822344000,8.1387488000,7.9554033600,1183150,21520841.6000,2,5.580896,1,2.304665,39.496998,7.002782,3.401153,0.000000
1997-04-24,sz.000058,8.0493120000,8.1298051200,7.8391355200,7.9151568000,8.1387488000,928700,16457692.0000,2,4.380660,1,-2.747252,38.411916,6.810398,3.307715,0.000000
1997-04-25,sz.000058,7.9822344000,8.2281856000,7.7810016000,8.0180091200,7.9151568000,1628833,29072847.1000,2,7.683175,1,1.299432,38.911054,6.898894,3.350697,0.000000
1997-04-28,sz.000058,8.2281856000,8.7111443200,8.0940304000,8.4964960000,8.0180091200,3164847,60092320.8400,2,14.928524,1,5.967650,41.233130,7.310596,3.550655,0.000000
1997-04-29,sz.000058,8.6753696000,8.8542432000,7.8972694400,8.2281856000,8.4964960000,1462810,27190295.2500,2,6.900047,1,-3.157897,39.931031,7.079735,3.438529,0.000000
1997-04-30,sz.000058,8.2729040000,8.2729040000,8.0940304000,8.1879390400,8.2281856000,755215,13803564.7000,2,3.562335,1,-0.489131,39.735716,7.045106,3.421710,0.000000
1997-05-05,sz.000058,9.0062857600,9.0062857600,9.0062857600,9.0062857600,8.1879390400,1459473,29393786.2200,2,6.884307,1,9.994538,43.707118,7.749232,3.763694,0.000000
1997-05-06,sz.000058,9.9006537600,9.9051256000,9.8469916800,9.9051256000,9.0062857600,1666317,36901222.5500,2,7.859986,1,9.980141,48.069149,8.522616,4.139316,0.000000
1997-05-07,sz.000058,9.1941030400,9.8380480000,8.9168489600,8.9168489600,9.9051256000,3149200,63407645.6000,2,14.854717,1,-9.977423,43.273085,7.672278,3.726319,0.000000
1997-05-08,sz.000058,8.6217075200,9.3014272000,8.4294184000,8.5188552000,8.9168489600,3405642,67256327.1700,2,16.064349,1,-4.463397,41.341638,7.329835,3.559999,0.000000
1997-05-09,sz.000058,8.4964960000,8.7200880000,8.4070592000,8.7066724800,8.5188552000,1635980,31359136.2400,2,7.716887,1,2.204725,42.253107,7.491437,3.638487,0.000000
1997-05-12,sz.000058,9.2343496000,9.5697376000,8.8095248000,9.0152294400,8.7066724800,2106208,42547281.5300,2,9.934943,1,3.543917,43.750521,7.756927,3.767432,0.000000
1997-05-13,sz.000058,8.9436800000,8.9883984000,8.5859328000,8.7648064000,9.0152294400,1137411,22165166.8600,2,5.365146,1,-2.777775,42.535229,7.541457,3.662781,0.000000
1997-05-14,sz.000058,8.7200880000,8.7603345600,8.0493120000,8.2416011200,8.7648064000,775230,14553994.0800,2,3.656745,1,-5.969388,39.996136,7.091278,3.444135,0.000000
1997-05-15,sz.000058,8.2281856000,8.5412144000,8.0850867200,8.5143833600,8.2416011200,615132,11482170.8700,2,2.901566,1,3.309824,41.319937,7.325987,3.558130,0.000000
1997-05-16,sz.000058,8.1834672000,8.2729040000,7.6647337600,7.6647337600,8.5143833600,852657,15217440.5500,2,4.021967,1,-9.978999,37.196624,6.594927,3.203064,0.000000
1997-05-19,sz.000058,7.6915648000,8.0045936000,7.6915648000,7.8704384000,7.6647337600,507561,8829641.5000,2,2.394156,1,2.683786,38.194899,6.771921,3.289028,0.000000
1997-05-20,sz.000058,8.0403683200,8.1834672000,7.8927976000,8.1163896000,7.8704384000,489436,8790046.9500,2,2.308660,1,3.124995,39.388490,6.983543,3.391810,0.000000
1997-05-21,sz.000058,8.0940304000,8.1387488000,7.6915648000,7.8033608000,8.1163896000,438000,7726617.2000,2,2.066038,1,-3.856743,37.869375,6.714205,3.260996,0.000000
1997-05-22,sz.000058,7.0252606400,7.5126912000,7.0252606400,7.0252606400,7.8033608000,562900,8945375.0000,2,2.655189,1,-9.971351,34.093288,6.044709,2.935831,0.000000
1997-05-23,sz.000058,7.0252606400,7.3338176000,6.7971968000,7.2220216000,7.0252606400,484436,7706685.1600,2,2.285075,1,2.800761,35.048161,6.214007,3.018057,0.000000
1997-05-26,sz.000058,7.3785360000,7.5037475200,6.9134646400,7.2712118400,7.2220216000,428800,6906184.0000,2,2.022642,1,0.681118,35.286879,6.256331,3.038613,0.000000
1997-05-27,sz.000058,7.3293457600,7.5037475200,7.1638876800,7.4813883200,7.2712118400,468240,7770150.7600,2,2.208679,1,2.890525,36.306856,6.437172,3.126445,0.000000
1997-05-29,sz.000058,7.6065998400,7.6781492800,7.3785360000,7.3830078400,7.4813883200,238900,4010405.0000,2,1.126887,1,-1.314999,35.829420,6.352523,3.085332,0.000000
1997-05-30,sz.000058,7.3338176000,7.5126912000,7.2667400000,7.4903320000,7.3830078400,263880,4339683.6000,2,1.244717,1,1.453663,36.350259,6.444868,3.130182,0.000000
1997-06-02,sz.000058,7.6468464000,8.0493120000,7.6468464000,7.9151568000,7.4903320000,695881,12208499.1000,2,3.282458,1,5.671647,38.411916,6.810398,3.307715,0.000000
1997-06-03,sz.000058,7.8614947200,8.0940304000,7.6692056000,7.9867062400,7.9151568000,638815,11331753.5000,2,3.013278,1,0.903954,38.759142,6.871960,3.337615,0.000000
1997-06-04,sz.000058,8.0716712000,8.1566361600,7.9151568000,8.0448401600,7.9867062400,545400,9859021.6200,2,2.572642,1,0.727879,39.041264,6.921980,3.361909,0.000000
1997-06-05,sz.000058,8.0493120000,8.0493120000,7.8257200000,7.9643470400,8.0448401600,391012,6913564.3200,2,1.844396,1,-1.000558,38.650634,6.852722,3.328272,0.000000
1997-06-06,sz.000058,7.1996624000,7.5842406400,7.1996624000,7.3740641600,7.9643470400,828430,13744013.6500,2,3.907689,1,-7.411565,35.786017,6.344828,3.081595,0.000000
1997-06-09,sz.000058,7.3830078400,7.7139240000,7.3204020800,7.6915648000,7.3740641600,684770,11582315.0000,2,3.230047,1,4.305646,37.326834,6.618013,3.214277,0.000000
1997-06-10,sz.000058,7.7720579200,7.8167763200,7.3338176000,7.4187825600,7.6915648000,384500,6450709.0000,2,1.813679,1,-3.546515,36.003033,6.383305,3.100282,0.000000
1997-06-11,sz.000058,7.3740641600,7.3740641600,6.7077600000,7.1057537600,7.4187825600,342500,5353706.0000,2,1.615566,1,-4.219408,34.483918,6.113967,2.969469,0.000000
1997-06-12,sz.000058,7.1370566400,7.2890992000,7.0386761600,7.1102256000,7.1057537600,256195,4100777.5500,2,1.208467,1,0.062928,34.505619,6.117815,2.971337,0.000000
1997-06-13,sz.000058,6.5288864000,7.4456136000,6.5288864000,7.4277262400,7.1102256000,542864,8787778.2000,2,2.560679,1,4.465415,36.046436,6.391000,3.104020,0.000000
1997-06-16,sz.000058,7.6021280000,7.7362832000,7.5082193600,7.5663532800,7.4277262400,438750,7471314.5500,2,2.069575,1,1.866342,36.719187,6.510278,3.161951,0.000000
1997-06-17,sz.000058,7.5663532800,7.5663532800,7.3695923200,7.3785360000,7.5663532800,225600,3740539.0000,2,1.064151,1,-2.482270,35.807718,6.348676,3.083463,0.000000
1997-06-18,sz.000058,7.3785360000,7.4679728000,7.1996624000,7.2488526400,7.3785360000,169040,2766422.0000,2,0.797358,1,-1.757581,35.178370,6.237093,3.029269,0.000000
1997-06-19,sz.000058,7.2443808000,7.3785360000,7.1460003200,7.1728313600,7.2488526400,171400,2775052.0000,2,0.808491,1,-1.048724,34.809442,6.171682,2.997500,0.000000
1997-06-20,sz.000058,7.3785360000,7.6915648000,7.1549440000,7.6244872000,7.1728313600,480445,8108600.1500,2,2.266250,1,6.296747,37.001309,6.560298,3.186245,0.000000
1997-06-23,sz.000058,7.9598752000,7.9822344000,7.2890992000,7.5350504000,7.6244872000,815006,14085745.0200,2,3.844368,1,-1.173014,36.567276,6.483345,3.148870,0.000000
1997-06-24,sz.000058,7.5126912000,7.7810016000,7.5126912000,7.6870929600,7.5350504000,457120,7840538.6000,2,2.156226,1,2.017805,37.305132,6.614166,3.212408,0.000000
1997-06-25,sz.000058,8.4562494400,8.4562494400,8.0537838400,8.4562494400,7.6870929600,4706176,88449297.5300,2,22.198943,1,10.005810,41.037815,7.275967,3.533836,0.000000
1997-06-26,sz.000058,8.3265660800,8.7111443200,8.0493120000,8.3086787200,8.4562494400,2315846,43524592.0800,2,9.263384,1,-1.745108,40.321661,7.148994,3.472167,0.000000
1997-06-27,sz.000058,8.2729040000,8.4517776000,8.0493120000,8.2818476800,8.3086787200,1723280,32011894.6500,2,6.893120,1,-0.322925,40.191451,7.125907,3.460954,0.000000
1997-07-02,sz.000058,8.4517776000,8.4651931200,7.4679728000,7.8301918400,8.2818476800,709095,12612922.6300,2,2.836380,1,-5.453565,37.999585,6.737292,3.272209,0.000000
1997-07-03,sz.000058,7.9151568000,8.0045936000,7.3472331200,7.4277262400,7.8301918400,491700,8287416.7000,2,1.966800,1,-5.139918,36.046436,6.391000,3.104020,0.000000
1997-07-04,sz.000058,7.3338176000,7.3338176000,6.9626548800,7.2533244800,7.4277262400,523435,8421738.8000,2,2.093740,1,-2.347991,35.200072,6.240941,3.031138,0.000000
1997-07-07,sz.000058,7.2890992000,7.3248739200,6.5288864000,6.5288864000,7.2533244800,528200,7995873.2500,2,2.112800,1,-9.987663,31.684405,5.617616,2.728398,0.000000
1997-07-08,sz.000058,6.1044795000,6.4591206900,5.8777416900,6.0754105500,6.5288861700,458620,4790723.2000,2,1.411138,1,-6.945679,29.481688,5.227076,2.538718,0.000000
1997-07-09,sz.000058,6.1916863500,6.4823758500,6.1044795000,6.4765620600,6.0754105500,592480,6478184.1000,2,1.823015,1,6.602876,31.428326,5.572213,2.706346,0.000000
1997-07-10,sz.000058,6.4765620600,6.4765620600,6.2207553000,6.2265690900,6.4765620600,412644,4495946.0000,2,1.269674,1,-3.859967,30.215204,5.357128,2.601882,0.000000
1997-07-11,sz.000058,6.0928519200,6.3951690000,6.0928519200,6.3951690000,6.2265690900,417717,4509701.7200,2,1.285283,1,2.707749,31.033356,5.502186,2.672335,0.000000
1997-07-14,sz.000058,6.4649344800,6.8893411500,6.4533069000,6.8544584100,6.3951690000,849032,9884348.8100,2,2.612406,1,7.181818,33.262115,5.897343,2.864257,0.000000
1997-07-15,sz.000058,6.8893411500,7.0463134800,6.7498101900,6.8428308300,6.8544584100,532983,6298805.1300,2,1.639948,1,-0.169631,33.205691,5.887339,2.859398,0.000000
1997-07-16,sz.000058,6.9765480000,6.9765480000,6.5753964900,6.7149274500,6.8428308300,387200,4467299.0400,2,1.191385,1,-1.869161,32.585024,5.777295,2.805952,0.000000
1997-07-17,sz.000058,6.8021343000,6.8602722000,6.6277206000,6.7905067200,6.7149274500,418510,4839105.6600,2,1.287723,1,1.125542,32.951781,5.842321,2.837534,0.000000
1997-07-18,sz.000058,6.8312032500,6.9416652600,6.7439964000,6.8544584100,6.7905067200,415454,4884077.9500,2,1.278320,1,0.941778,33.262115,5.897343,2.864257,0.000000
1997-07-21,sz.000058,6.9707342100,7.1974720200,6.8893411500,6.9649204200,6.8544584100,657043,7991930.6900,2,2.021671,1,1.611532,33.798146,5.992380,2.910416,0.000000
1997-07-22,sz.000058,6.9184101000,7.0870100100,6.7323688200,7.0114307400,6.9649204200,395216,4699382.6300,2,1.216049,1,0.667787,34.023843,6.032396,2.929851,0.000000
1997-07-23,sz.000058,7.0986375900,7.3253754000,7.0346859000,7.0986375900,7.0114307400,740290,9189421.4700,2,2.277815,1,1.243778,34.447025,6.107426,2.966292,0.000000
