date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2011-03-02,sz.002555,3.0890560000,3.2393344000,3.0773676800,3.0790374400,2.9220800000,8827250,330382434.5800,2,64.906250,1,5.371432,50.200133,13.554441,7.800784,-75.220203
2011-03-03,sz.002555,3.0389632000,3.0389632000,2.9237497600,2.9304288000,3.0790374400,3510580,124491966.0300,2,25.813088,1,-4.826500,47.777242,12.900240,7.424282,-71.589727
2011-03-04,sz.002555,2.9037126400,2.9671635200,2.9012080000,2.9513008000,2.9304288000,1484295,52274455.7200,2,10.913934,1,0.712300,48.117536,12.992122,7.477162,-72.099625
2011-03-07,sz.002555,2.9346032000,2.9513008000,2.9229148800,2.9387776000,2.9513008000,1694556,59486191.3400,2,12.459971,1,-0.424300,47.913359,12.936993,7.445434,-71.793686
2011-03-08,sz.002555,2.9454566400,2.9471264000,2.8761616000,2.8903545600,2.9387776000,1652825,57421537.9700,2,12.153125,1,-1.647700,47.123878,12.723827,7.322753,-70.610722
2011-03-09,sz.002555,2.8903545600,2.9279241600,2.8803360000,2.9220800000,2.8903545600,1011529,35213984.6000,2,7.437713,1,1.097600,47.641124,12.863488,7.403130,-71.385768
2011-03-10,sz.002555,2.9220800000,2.9262544000,2.8886848000,2.9003731200,2.9220800000,856096,29774135.3700,2,6.294824,1,-0.742900,47.287219,12.767930,7.348136,-70.855473
2011-03-11,sz.002555,2.8820057600,2.9095568000,2.8803360000,2.8928592000,2.9003731200,777340,26988424.2800,2,5.715735,1,-0.259100,47.164713,12.734853,7.329099,-70.671910
2011-03-14,sz.002555,2.8886848000,2.9371078400,2.8870150400,2.9270892800,2.8928592000,769314,26890312.1100,2,5.656721,1,1.183300,47.722795,12.885539,7.415821,-71.508143
2011-03-15,sz.002555,2.9204102400,2.9354380800,2.8811708800,2.9053824000,2.9270892800,775341,26956273.2400,2,5.701037,1,-0.741600,47.368889,12.789982,7.360827,-70.977849
2011-03-16,sz.002555,2.9087219200,2.9346032000,2.8995382400,2.9262544000,2.9053824000,788711,27595861.2600,2,5.799346,1,0.718400,47.709183,12.881864,7.413706,-71.487747
2011-03-17,sz.002555,2.9120614400,2.9145660800,2.8577942400,2.8686476800,2.9262544000,800279,27692690.0600,2,5.884404,1,-1.968600,46.769972,12.628269,7.267759,-70.080428
2011-03-18,sz.002555,2.8661430400,2.8903545600,2.8661430400,2.8820057600,2.8686476800,474050,16330017.8900,2,3.485662,1,0.465700,46.987760,12.687074,7.301602,-70.406763
2011-03-21,sz.002555,2.8811708800,2.9287590400,2.8811708800,2.9220800000,2.8820057600,860066,30001534.3000,2,6.324015,1,1.390500,47.641124,12.863488,7.403130,-71.385768
